id,movie_name,movie_time,details,genre,,
,Songs My Brothers Taught Me ,9 PM,2015,Drama,,
,The Stanford Prison Experiment ,12 PM,2015,Drama,,
,"Stockholm, Pennsylvania ",5 PM,2015,Drama,,
,Unexpected ,9 PM,2015,Comedy,,
,The Forbidden Room ,12 PM,2015,Comedy,,
,Vice ,5 PM,2015,Action,,
,A Grain of Truth ,9 PM,2015,Thriller,,
,Chuck Norris vs Communism ,12 PM,2015,Documentary,,
,Average Italian ,5 PM,2015,Comedy,,
,Wild Card ,9 PM,2015,Crime,,
,The Wedding Ringer ,12 PM,2015,Comedy,,
,Wyrmwood ,5 PM,2015,Action,,
,Jönssonligan - Den perfekta stöten ,9 PM,2015,Action,,
,The Boy Next Door ,12 PM,2015,Thriller,,
,Boy Meets Girl ,5 PM,2015,Comedy,,
,Knight of Cups ,9 PM,2015,Drama,,
,Diary of a Chambermaid ,12 PM,2015,Drama,,
,Ixcanul Volcano ,5 PM,2015,(no genres listed),,
,Nobody Wants the Night ,9 PM,2015,Drama,,
,As We Were Dreaming ,12 PM,2015,(no genres listed),,
,Petting Zoo ,5 PM,2015,(no genres listed),,
,Home Sweet Hell ,9 PM,2015,Comedy,,
,Adult Camp ,12 PM,2015,Comedy,,
,Bizarre ,5 PM,2015,(no genres listed),,
,Dragonheart 3: The Sorcerer's Curse ,9 PM,2015,Action,,
,Hot Tub Time Machine 2 ,12 PM,2015,Comedy,,
,The Coven ,5 PM,2015,Fantasy,,
,Tokyo Fiancée ,9 PM,2015,(no genres listed),,
,Focus ,12 PM,2015,Comedy,,
,"SpongeBob Movie: Sponge Out of Water, The ",5 PM,2015,Adventure,,
,Demonic ,9 PM,2015,Horror,,
,The Second Best Exotic Marigold Hotel ,12 PM,2015,Comedy,,
,Tracers ,5 PM,2015,Action,,
,McFarland USA ,9 PM,2015,Drama,,
,The Lazarus Effect ,12 PM,2015,Horror,,
,Unfinished Business ,5 PM,2015,Comedy,,
,Spare Parts ,9 PM,2015,Children,,
,Bikes vs Cars ,12 PM,2015,Documentary,,
,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League ,5 PM,2015,Action,,
,Run All Night ,9 PM,2015,Action,,
,Kingdom of Shadows ,12 PM,2015,Documentary,,
,Road Hard ,5 PM,2015,Comedy,,
,Cinderella ,9 PM,2015,Adventure,,
,Frozen Fever ,12 PM,2015,Adventure,,
,Kidnapping Mr. Heineken ,5 PM,2015,Action,,
,The Cobbler ,9 PM,2015,Comedy,,
,Crazy Beautiful You ,12 PM,2015,(no genres listed),,
,Other Girls ,5 PM,2015,Drama,,
,India's Daughter ,9 PM,2015,Documentary,,
,The Boy ,12 PM,2015,(no genres listed),,
,I Hate Christian Laettner ,5 PM,2015,Documentary,,
,Suite Française ,9 PM,2015,Drama,,
,Insurgent ,12 PM,2015,Action,,
,Big Game ,5 PM,2015,Action,,
,Home ,9 PM,2015,Animation,,
,The Gunman ,12 PM,2015,Action,,
,Muck ,5 PM,2015,Horror,,
,Spring ,9 PM,2015,Horror,,
,Power/Rangers ,12 PM,2015,Action,,
,Get Hard ,5 PM,2015,Comedy,,
,Aziz Ansari: Live at Madison Square Garden ,9 PM,2015,Comedy,,
,The Intruders ,12 PM,2015,Thriller,,
,Parallels ,5 PM,2015,Sci-Fi,,
,Dead Rising: Watchtower ,9 PM,2015,Action,,
,The Outsider ,12 PM,2014,Action,,
,Punk's Dead: SLC Punk! 2 ,5 PM,2014,Comedy,,
,Paranormal Activity: The Marked Ones ,9 PM,2014,Horror,,
,Yves Saint Laurent ,12 PM,2014,Drama,,
,Freezer ,5 PM,2014,Action,,
,Ride Along ,9 PM,2014,Action,,
,Jack Ryan: Shadow Recruit ,12 PM,2014,Action,,
,Divergent ,5 PM,2014,Adventure,,
,Reasonable Doubt ,9 PM,2014,Crime,,
,Saint Laurent ,12 PM,2014,Drama,,
,Devil's Due ,5 PM,2014,Horror,,
,Nicht mein Tag ,9 PM,2014,Action,,
,Justice League: War ,12 PM,2014,Action,,
,Mitt ,5 PM,2014,Documentary,,
,"I, Frankenstein ",9 PM,2014,Action,,
,Better Living Through Chemistry ,12 PM,2014,Comedy,,
,Flowers in the Attic ,5 PM,2014,Drama,,
,"Monuments Men, The ",9 PM,2014,Action,,
,The Lego Movie ,12 PM,2014,Action,,
,RoboCop ,5 PM,2014,Action,,
,Sabotage ,9 PM,2014,Action,,
,Hallåhallå ,12 PM,2014,Comedy,,
,"Long Way Down, A ",5 PM,2014,Comedy,,
,Date and Switch ,9 PM,2014,Comedy,,
,Endless Love ,12 PM,2014,Drama,,
,Winter's Tale ,5 PM,2014,Drama,,
,Someone Marry Barry ,9 PM,2014,Comedy,,
,About Last Night ,12 PM,2014,Comedy,,
,"Grand Budapest Hotel, The ",5 PM,2014,Comedy,,
,Cuban Fury ,9 PM,2014,Comedy,,
,Jamesy Boy ,12 PM,2014,Crime,,
,Jailbait ,5 PM,2014,Crime,,
,Highway ,9 PM,2014,Crime,,
,Supercondriaque ,12 PM,2014,Comedy,,
,Prêt à tout ,5 PM,2014,Comedy,,
,That Awkward Moment ,9 PM,2014,Comedy,,
,Interstellar ,12 PM,2014,Sci-Fi,,
,"Gabby Douglas Story, The ",5 PM,2014,Drama,,
,3 Days to Kill ,9 PM,2014,Action,,
,Non-Stop ,12 PM,2014,Action,,
,300: Rise of an Empire ,5 PM,2014,Action,,
,Star Wars: Threads of Destiny ,9 PM,2014,Action,,
,"Bag Man, The ",12 PM,2014,Crime,,
,Obvious Child ,5 PM,2014,Comedy,,
,Bad Country ,9 PM,2014,Action,,
,Mr. Peabody & Sherman ,12 PM,2014,Adventure,,
,Need for Speed ,5 PM,2014,Action,,
,Barefoot ,9 PM,2014,Comedy,,
,Veronica Mars ,12 PM,2014,Comedy,,
,Son of God ,5 PM,2014,Drama,,
,Ocho apellidos vascos ,9 PM,2014,Comedy,,
,Le crocodile du Botswanga ,12 PM,2014,Comedy,,
,Captain America: The Winter Soldier ,5 PM,2014,Action,,
,Noah ,9 PM,2014,Adventure,,
,"Nut Job, The ",12 PM,2014,Adventure,,
,Avengers Confidential: Black Widow & Punisher ,5 PM,2014,Action,,
,Takedown: The DNA of GSP ,9 PM,2014,Documentary,,
,13 Sins ,12 PM,2014,Horror,,
,"Legend of Hercules, The ",5 PM,2014,Action,,
,Muppets Most Wanted ,9 PM,2014,Adventure,,
,Dom Hemingway ,12 PM,2014,Comedy,,
,Free to Play ,5 PM,2014,Documentary,,
,Fiston ,9 PM,2014,Comedy,,
,In the Blood ,12 PM,2014,Action,,
,"Quiet Ones, The ",5 PM,2014,Horror,,
,Draft Day ,9 PM,2014,Drama,,
,The Raid 2: Berandal ,12 PM,2014,Action,,
,The Amazing Spider-Man 2 ,5 PM,2014,Action,,
,Son of Batman ,9 PM,2014,Action,,
,Calvary ,12 PM,2014,Comedy,,
,God's Not Dead ,5 PM,2014,Drama,,
,Cold in July ,9 PM,2014,Drama,,
,Rio 2 ,12 PM,2014,Adventure,,
,"Honest Liar, An ",5 PM,2014,Comedy,,
,In Your Eyes ,9 PM,2014,Drama,,
,Bears ,12 PM,2014,Documentary,,
,Transcendence ,5 PM,2014,Drama,,
,Heaven Is for Real ,9 PM,2014,Drama,,
,"Other Woman, The ",12 PM,2014,Comedy,,
,"Haunted House 2, A ",5 PM,2014,Comedy,,
,Vampire Academy ,9 PM,2014,Action,,
,Brick Mansions ,12 PM,2014,Action,,
,Rage ,5 PM,2014,Action,,
,Pompeii ,9 PM,2014,Action,,
,Neighbors ,12 PM,2014,Comedy,,
,Alpha and Omega 3: The Great Wolf Games ,5 PM,2014,Action,,
,Good People ,9 PM,2014,Drama,,
,Mom's Night Out ,12 PM,2014,Comedy,,
,Lucy ,5 PM,2014,Action,,
,X-Men: Days of Future Past ,9 PM,2014,Action,,
,Godzilla ,12 PM,2014,Action,,
,Walk of Shame ,5 PM,2014,Comedy,,
,Kid Cannabis ,9 PM,2014,Drama,,
,Jim Gaffigan: Obsessed ,12 PM,2014,Comedy,,
,Legends of Oz: Dorothy's Return ,5 PM,2014,Animation,,
,"Lady in Number 6: Music Saved My Life, The ",9 PM,2014,Documentary,,
,Chef ,12 PM,2014,Comedy,,
,Rosemary's Baby ,5 PM,2014,Horror,,
,Johnny Express ,9 PM,2014,Animation,,
,"Normal Heart, The ",12 PM,2014,Drama,,
,Turks & Caicos ,5 PM,2014,Drama,,
,Salting the Battlefield ,9 PM,2014,Drama,,
,Die Fischerin ,12 PM,2014,Drama,,
,Blended ,5 PM,2014,Comedy,,
,Kelly & Cal ,9 PM,2014,Comedy,,
,"Brony Tale, A ",12 PM,2014,Documentary,,
,Maleficent ,5 PM,2014,Action,,
,"Two Faces of January, The ",9 PM,2014,Thriller,,
,Zombeavers ,12 PM,2014,Action,,
,Scooby-Doo! WrestleMania Mystery ,5 PM,2014,Animation,,
,"Million Ways to Die in the West, A ",9 PM,2014,Comedy,,
,Edge of Tomorrow ,12 PM,2014,Action,,
,Million Dollar Arm ,5 PM,2014,Comedy,,
,Once Upon a Time in Shanghai ,9 PM,2014,Crime,,
,7500,12 PM,2014,Action,,
,Black Coffee ,5 PM,2014,Comedy,,
,Lilting ,9 PM,2014,Drama,,
,The Fault in Our Stars ,12 PM,2014,Drama,,
,Maps to the Stars ,5 PM,2014,Drama,,
,"Case Against 8, The ",9 PM,2014,Documentary,,
,Back in the Day ,12 PM,2014,Comedy,,
,22 Jump Street ,5 PM,2014,Action,,
,"Equalizer, The ",9 PM,2014,Action,,
,How to Train Your Dragon 2 ,12 PM,2014,Action,,
,Birdman ,5 PM,2014,Comedy,,
,Doc of the Dead ,9 PM,2014,Documentary,,
,Boyhood ,12 PM,2014,Drama,,
,Tillbaka till Bromma ,5 PM,2014,Comedy,,
,Think Like a Man Too ,9 PM,2014,Comedy,,
,Jersey Boys ,12 PM,2014,Drama,,
,"Internet's Own Boy: The Story of Aaron Swartz, The ",5 PM,2014,Documentary,,
,Transformers: Age of Extinction ,9 PM,2014,Action,,
,Jack Strong ,12 PM,2014,Action,,
,Perfect Sisters ,5 PM,2014,Drama,,
,Frank ,9 PM,2014,Comedy,,
,Sound of Redemption: The Frank Morgan Story ,12 PM,2014,Documentary,,
,Very Good Girls ,5 PM,2014,Drama,,
,They Came Together ,9 PM,2014,Comedy,,
,Questioning Darwin ,12 PM,2014,Documentary,,
,Planes: Fire & Rescue ,5 PM,2014,Adventure,,
,Mrs. Brown's Boys D'Movie ,9 PM,2014,Comedy,,
,"Gunfighter, The ",12 PM,2014,Action,,
,Tammy ,5 PM,2014,Comedy,,
,"Babadook, The ",9 PM,2014,Drama,,
,Killer Legends ,12 PM,2014,Crime,,
,Whiplash ,5 PM,2014,Drama,,
,Gone Girl ,9 PM,2014,Drama,,
,"Angriest Man in Brooklyn, The ",12 PM,2014,Comedy,,
,Life Itself ,5 PM,2014,Documentary,,
,Finding Fela! ,9 PM,2014,Documentary,,
,Missing William ,12 PM,2014,Drama,,
,Dawn of the Planet of the Apes ,5 PM,2014,Sci-Fi,,
,Gun Woman ,9 PM,2014,Action,,
,"Battered Bastards of Baseball, The ",12 PM,2014,Documentary,,
,Deliver Us from Evil ,5 PM,2014,Crime,,
,And So It Goes ,9 PM,2014,Comedy,,
,Healing ,12 PM,2014,Drama,,
,Premature ,5 PM,2014,Comedy,,
,Sex Tape ,9 PM,2014,Comedy,,
,I Origins ,12 PM,2014,Drama,,
,"Purge: Anarchy, The ",5 PM,2014,Action,,
,Guardians of the Galaxy ,9 PM,2014,Action,,
,"Signal, The ",12 PM,2014,Sci-Fi,,
,Jimmy's Hall ,5 PM,2014,Drama,,
,"Expendables 3, The ",9 PM,2014,Action,,
,Gunday ,12 PM,2014,Action,,
,Hercules ,5 PM,2014,Action,,
,Once My Mother ,9 PM,2014,Documentary,,
,"Most Wanted Man, A ",12 PM,2014,Thriller,,
,Wish I Was Here ,5 PM,2014,Comedy,,
,Lust for Love ,9 PM,2014,Comedy,,
,Hellion ,12 PM,2014,Drama,,
,"Trip to Italy, The ",5 PM,2014,Comedy,,
,Earth to Echo ,9 PM,2014,Adventure,,
,Maidentrip ,12 PM,2014,Documentary,,
,Kidnapped For Christ ,5 PM,2014,Documentary,,
,Step Up All In ,9 PM,2014,Drama,,
,Video Games: The Movie ,12 PM,2014,Documentary,,
,"Girl Who Talked to Dolphins, The ",5 PM,2014,Documentary,,
,Sharktopus vs. Pteracuda ,9 PM,2014,Sci-Fi,,
,Life After Beth ,12 PM,2014,Comedy,,
,"Rover, The ",5 PM,2014,Crime,,
,Get on Up ,9 PM,2014,Drama,,
,Magic in the Moonlight ,12 PM,2014,Comedy,,
,Housebound ,5 PM,2014,Comedy,,
,"Hundred-Foot Journey, The ",9 PM,2014,Drama,,
,Batman: Assault on Arkham ,12 PM,2014,Action,,
,Teenage Mutant Ninja Turtles ,5 PM,2014,Action,,
,Rob the Mob ,9 PM,2014,Crime,,
,"Reckoning, The ",12 PM,2014,Crime,,
,"Giver, The ",5 PM,2014,Drama,,
,Revenge of the Green Dragons ,9 PM,2014,Action,,
,Let's Be Cops ,12 PM,2014,Comedy,,
,"Necessary War, The ",5 PM,2014,Documentary,,
,Appleseed Alpha ,9 PM,2014,Action,,
,Bad Johnson ,12 PM,2014,Comedy,,
,"Inbetweeners 2, The ",5 PM,2014,Comedy,,
,Age of Tomorrow ,9 PM,2014,Action,,
,Sin City: A Dame to Kill For ,12 PM,2014,Action,,
,Authors Anonymous ,5 PM,2014,Comedy,,
,If I Stay ,9 PM,2014,Drama,,
,"Canal, The ",12 PM,2014,Horror,,
,Are You Here ,5 PM,2014,Comedy,,
,Welcome to New York ,9 PM,2014,Drama,,
,Kummeli V ,12 PM,2014,Comedy,,
,Cantinflas ,5 PM,2014,Drama,,
,"Pyramid, The ",9 PM,2014,Horror,,
,Exists ,12 PM,2014,Horror,,
,Cat Run 2 ,5 PM,2014,Action,,
,"As Above, So Below ",9 PM,2014,Horror,,
,"One I Love, The ",12 PM,2014,Comedy,,
,Piripäiväkirja ,5 PM,2014,Documentary,,
,El Niño ,9 PM,2014,Drama,,
,"Guest, The ",12 PM,2014,Thriller,,
,Leprechaun: Origins ,5 PM,2014,Horror,,
,To Be Takei ,9 PM,2014,Documentary,,
,Angry Video Game Nerd: The Movie ,12 PM,2014,Adventure,,
,Nixon by Nixon: In His Own Words ,5 PM,2014,Documentary,,
,Mi Amigo Hugo ,9 PM,2014,Documentary,,
,Before I Go to Sleep ,12 PM,2014,Mystery,,
,PAY 2 PLAY: Democracy's High Stakes ,5 PM,2014,Comedy,,
,Pride ,9 PM,2014,Comedy,,
,Into the Storm ,12 PM,2014,Action,,
,"Calling, The ",5 PM,2014,Thriller,,
,Honeymoon ,9 PM,2014,Horror,,
,God's Pocket ,12 PM,2014,Drama,,
,"Drop, The ",5 PM,2014,Crime,,
,"20,000 Days on Earth ",9 PM,2014,Documentary,,
,Captivated ,12 PM,2014,Documentary,,
,"Good Job:  Stories of the FDNY, A ",5 PM,2014,Documentary,,
,"Skeleton Twins, The ",9 PM,2014,Drama,,
,"Maze Runner, The ",12 PM,2014,Action,,
,No Good Deed ,5 PM,2014,Thriller,,
,Camp X-Ray ,9 PM,2014,Drama,,
,Sharknado 2: The Second One ,12 PM,2014,Horror,,
,"Riot Club, The ",5 PM,2014,Drama,,
,"Walk Among the Tombstones, A ",9 PM,2014,Action,,
,My Old Lady ,12 PM,2014,Comedy,,
,1971,5 PM,2014,Documentary,,
,"Other One, The ",9 PM,2014,Drama,,
,Affluenza ,12 PM,2014,Drama,,
,700 Sundays ,5 PM,2014,Comedy,,
,Laggies ,9 PM,2014,Comedy,,
,God Help the Girl ,12 PM,2014,Drama,,
,Misconception ,5 PM,2014,Documentary,,
,"Last Season, The ",9 PM,2014,Documentary,,
,What We Did on Our Holiday ,12 PM,2014,Comedy,,
,Dead Within ,5 PM,2014,Drama,,
,"Homesman, The ",9 PM,2014,Drama,,
,Cesar Chavez ,12 PM,2014,Drama,,
,Trailer Park Boys: Don't Legalize It ,5 PM,2014,Comedy,,
,"November Man, The ",9 PM,2014,Action,,
,White Bird in a Blizzard ,12 PM,2014,Drama,,
,"Electric Boogaloo: The Wild, Untold Story of Cannon Films ",5 PM,2014,Comedy,,
,"Occupants, The ",9 PM,2014,Thriller,,
,Not Cool ,12 PM,2014,Comedy,,
,"Boxtrolls, The ",5 PM,2014,Adventure,,
,This Is Where I Leave You ,9 PM,2014,Comedy,,
,"Look of Silence, The ",12 PM,2014,Documentary,,
,Cabin Fever: Patient Zero ,5 PM,2014,Horror,,
,American Sniper ,9 PM,2014,Action,,
,Fort Bliss ,12 PM,2014,Drama,,
,Tusk ,5 PM,2014,Comedy,,
,Hector and the Search for Happiness ,9 PM,2014,Adventure,,
,"Overnighters, The ",12 PM,2014,Documentary,,
,Space Station 76 ,5 PM,2014,Comedy,,
,Horns ,9 PM,2014,Horror,,
,Annabelle ,12 PM,2014,Horror,,
,Open Windows ,5 PM,2014,Crime,,
,Happy Christmas ,9 PM,2014,Comedy,,
,Two Night Stand ,12 PM,2014,Comedy,,
,Dracula Untold ,5 PM,2014,Action,,
,Stretch ,9 PM,2014,Action,,
,The Prince ,12 PM,2014,Action,,
,"Captive, The ",5 PM,2014,Crime,,
,"Scribbler, The ",9 PM,2014,Sci-Fi,,
,Predestination ,12 PM,2014,Sci-Fi,,
,Jackass Presents: Bad Grandpa .5 ,5 PM,2014,Comedy,,
,What We Do in the Shadows ,9 PM,2014,Comedy,,
,"Dark Horse, The ",12 PM,2014,Drama,,
,"Newburgh Sting, The ",5 PM,2014,Documentary,,
,The Best of Me ,9 PM,2014,Drama,,
,John Wick ,12 PM,2014,Action,,
,Plastic ,5 PM,2014,Action,,
,Reclaim ,9 PM,2014,Drama,,
,"Judge, The ",12 PM,2014,Drama,,
,"Disappearance of Eleanor Rigby: Them, The ",5 PM,2014,Drama,,
,Love Is Strange ,9 PM,2014,Drama,,
,"Culture High, The ",12 PM,2014,Documentary,,
,Recipe for Love ,5 PM,2014,Romance,,
,Fury ,9 PM,2014,Action,,
,My Boyfriends' Dogs ,12 PM,2014,Comedy,,
,"Salvation, The ",5 PM,2014,Drama,,
,Grace of Monaco ,9 PM,2014,Drama,,
,St. Vincent ,12 PM,2014,Comedy,,
,Young Ones ,5 PM,2014,Drama,,
,Land Ho! ,9 PM,2014,Adventure,,
,Sleeping Beauty ,12 PM,2014,Adventure,,
,Stage Fright ,5 PM,2014,Horror,,
,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",9 PM,2014,Comedy,,
,My Brother the Terrorist ,12 PM,2014,Documentary,,
,Left Behind ,5 PM,2014,Action,,
,Blind ,9 PM,2014,Drama,,
,Harmontown ,12 PM,2014,Documentary,,
,Extraterrestrial ,5 PM,2014,Horror,,
,"Rewrite, The ",9 PM,2014,Comedy,,
,Alien Abduction ,12 PM,2014,Horror,,
,Ouija ,5 PM,2014,Horror,,
,Stop at Nothing: The Lance Armstrong Story ,9 PM,2014,Documentary,,
,Leave The World Behind ,12 PM,2014,Documentary,,
,Nightcrawler ,5 PM,2014,Crime,,
,"Condemned, The ",9 PM,2014,Crime,,
,Big Hero 6 ,12 PM,2014,Action,,
,Disaster L.A. ,5 PM,2014,Action,,
,"Book of Life, The ",9 PM,2014,Adventure,,
,"Love, Rosie ",12 PM,2014,Comedy,,
,Hard Sun ,5 PM,2014,Drama,,
,"Like Sunday, Like Rain ",9 PM,2014,Drama,,
,Time Lapse ,12 PM,2014,Crime,,
,Learning to Ride ,5 PM,2014,Drama,,
,Before I Disappear ,9 PM,2014,Drama,,
,Crimes Against Humanity ,12 PM,2014,Comedy,,
,Bronx Obama ,5 PM,2014,Documentary,,
,Mr. Turner ,9 PM,2014,Drama,,
,Copenhagen ,12 PM,2014,Adventure,,
,Serial Killer Culture ,5 PM,2014,Crime,,
,Mercy ,9 PM,2014,Horror,,
,Seal Team Eight: Behind Enemy Lines ,12 PM,2014,Action,,
,These Final Hours ,5 PM,2014,Drama,,
,Haider ,9 PM,2014,Crime,,
,"Kumiko, the Treasure Hunter ",12 PM,2014,Comedy,,
,Stereo ,5 PM,2014,Thriller,,
,Northern Soul ,9 PM,2014,Drama,,
,Olive Kitteridge ,12 PM,2014,Drama,,
,Leviathan ,5 PM,2014,Drama,,
,Foxcatcher ,9 PM,2014,Drama,,
,D.L. Hughley: Reset ,12 PM,2014,Comedy,,
,You're Not You ,5 PM,2014,Drama,,
,Stonehearst Asylum ,9 PM,2014,Thriller,,
,Life Partners ,12 PM,2014,Comedy,,
,Anatomy of a Love Seen ,5 PM,2014,Drama,,
,Drive Hard ,9 PM,2014,Action,,
,My Prairie Home ,12 PM,2014,Documentary,,
,52 Tuesdays ,5 PM,2014,Children,,
,Die Fighting ,9 PM,2014,Action,,
,The Possession of Michael King ,12 PM,2014,Horror,,
,Small Time ,5 PM,2014,Comedy,,
,Dark House ,9 PM,2014,Horror,,
,Advanced Style ,12 PM,2014,Comedy,,
,Dead Snow 2: Red vs. Dead ,5 PM,2014,Action,,
,Stromberg - Der Film ,9 PM,2014,Comedy,,
,"Fat, Sick & Nearly Dead 2 ",12 PM,2014,Documentary,,
,Serena ,5 PM,2014,Drama,,
,The Imitation Game ,9 PM,2014,Drama,,
,Inherent Vice ,12 PM,2014,Comedy,,
,Labyrinth of Lies ,5 PM,2014,Drama,,
,Babysitting ,9 PM,2014,Comedy,,
,Rudderless ,12 PM,2014,Comedy,,
,The Hunger Games: Mockingjay - Part 1 ,5 PM,2014,Adventure,,
,Gett: The Trial of Viviane Amsalem ,9 PM,2014,Drama,,
,Rosewater ,12 PM,2014,Drama,,
,Valley Uprising ,5 PM,2014,Documentary,,
,Sex Ed ,9 PM,2014,Comedy,,
,A Good Marriage ,12 PM,2014,Thriller,,
,The Way He Looks ,5 PM,2014,Drama,,
,Exodus: Gods and Kings ,9 PM,2014,Action,,
,Trash ,12 PM,2014,Adventure,,
,Wild Tales ,5 PM,2014,Comedy,,
,Ambition ,9 PM,2014,Sci-Fi,,
,Fed Up ,12 PM,2014,Documentary,,
,Dumb and Dumber To ,5 PM,2014,Comedy,,
,The Longest Week ,9 PM,2014,Comedy,,
,Tales of the Grim Sleeper ,12 PM,2014,Crime,,
,The Damned ,5 PM,2014,Horror,,
,Miss Meadows ,9 PM,2014,Drama,,
,Too Many Cooks ,12 PM,2014,Comedy,,
,Dear White People ,5 PM,2014,Comedy,,
,Liar's Dice ,9 PM,2014,Adventure,,
,BFFs ,12 PM,2014,Comedy,,
,"Theory of Everything, The ",5 PM,2014,Drama,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
